CBSA,GEOID,total,mtotal,mu5,ftotal,fu5,tu5,mschool,fschool,tschool,m18_20s,f18_20s,t18_20s,m30s,f30s,t30s,m40s,f40s,t40s,m50_65,f50_65,t50_65,mo65,fo65,to65,Pmu5,Pfu5,Ptu5,Pmschool,Pfschool,Ptschool,Pm18_20s,Pf18_20s,Pt18_20s,Pm30s,Pf30s,Pt30s,Pm40s,Pf40s,Pt40s,Pm50_65,Pf50_65,Pt50_65,Pmo65,Pfo65,Pto65,Name,State,CBSAFIPS
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M200US33100,5775204,2800775,168531,2974429,162076,330607,454047,433906,887953,455541,445055,900596,372427,380111,752538,416704,430613,847317,528933,579208,1108141,404592,543460,948052,2.9,2.8,5.7,7.9,7.5,15.4,7.9,7.7,15.6,6.4,6.6,13.0,7.2,7.5,14.7,9.2,10.0,19.2,7.0,9.4,16.4,Miami-Fort Lauderdale-West Palm Beach, FL,33100
"Michigan City-La Porte, IN Metro Area",310M200US33140,111293,57672,3318,53621,3237,6555,9326,8922,18248,9470,7153,16623,8455,6217,14672,7762,7146,14908,12106,11658,23764,7235,9288,16523,3.0,2.9,5.9,8.4,8.0,16.4,8.5,6.4,14.9,7.6,5.6,13.2,7.0,6.4,13.4,10.9,10.5,21.4,6.5,8.3,14.8,Michigan City-La Porte, IN,33140
"Middlesborough, KY Micro Area",310M200US33180,28234,13648,813,14586,860,1673,2293,2138,4431,2157,2022,4179,1662,1744,3406,1981,1969,3950,2803,3165,5968,1939,2688,4627,2.9,3.0,5.9,8.1,7.6,15.7,7.6,7.2,14.8,5.9,6.2,12.1,7.0,7.0,14.0,9.9,11.2,21.1,6.9,9.5,16.4,Middlesborough, KY,33180
"Midland, MI Metro Area",310M200US33220,83620,41069,2256,42551,2225,4481,7322,7180,14502,6658,5986,12644,4606,4704,9310,5868,6012,11880,8718,9152,17870,5641,7292,12933,2.7,2.7,5.4,8.8,8.6,17.3,8.0,7.2,15.1,5.5,5.6,11.1,7.0,7.2,14.2,10.4,10.9,21.4,6.7,8.7,15.5,Midland, MI,33220
"Midland, TX Metro Area",310M200US33260,151483,75185,6409,76298,6022,12431,15024,14256,29280,14210,13793,28003,10100,9466,19566,9069,9398,18467,13471,14140,27611,6902,9223,16125,4.2,4.0,8.2,9.9,9.4,19.3,9.4,9.1,18.5,6.7,6.2,12.9,6.0,6.2,12.2,8.9,9.3,18.2,4.6,6.1,10.6,Midland, TX,33260
"Milledgeville, GA Micro Area",310M200US33300,54897,27763,1425,27134,1536,2961,3983,3667,7650,6616,6650,13266,3312,2688,6000,3471,3241,6712,5520,5254,10774,3436,4098,7534,2.6,2.8,5.4,7.3,6.7,13.9,12.1,12.1,24.2,6.0,4.9,10.9,6.3,5.9,12.2,10.1,9.6,19.6,6.3,7.5,13.7,Milledgeville, GA,33300
"Milwaukee-Waukesha-West Allis, WI Metro Area",310M200US33340,1565368,761325,51841,804043,50141,101982,139860,135078,274938,128471,130150,258621,98163,101324,199487,104002,107395,211397,152442,160811,313253,86546,119144,205690,3.3,3.2,6.5,8.9,8.6,17.6,8.2,8.3,16.5,6.3,6.5,12.7,6.6,6.9,13.5,9.7,10.3,20.0,5.5,7.6,13.1,Milwaukee-Waukesha-West Allis, WI,33340
"Mineral Wells, TX Micro Area",310M200US33420,28028,13838,1045,14190,834,1879,2518,2425,4943,1982,1866,3848,1540,1486,3026,1624,1867,3491,2908,3059,5967,2221,2653,4874,3.7,3.0,6.7,9.0,8.7,17.6,7.1,6.7,13.7,5.5,5.3,10.8,5.8,6.7,12.5,10.4,10.9,21.3,7.9,9.5,17.4,Mineral Wells, TX,33420
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",310M200US33460,3424786,1692444,117444,1732342,112566,230010,310969,298006,608975,280312,277619,557931,237787,234420,472207,242980,245050,488030,331088,341922,673010,171864,222759,394623,3.4,3.3,6.7,9.1,8.7,17.8,8.2,8.1,16.3,6.9,6.8,13.8,7.1,7.2,14.2,9.7,10.0,19.7,5.0,6.5,11.5,Minneapolis-St. Paul-Bloomington, MN,33460
"Minot, ND Micro Area",310M200US33500,74111,38476,2773,35635,2758,5531,6032,5662,11694,9987,7190,17177,5000,4442,9442,4119,3845,7964,6392,6333,12725,4173,5405,9578,3.7,3.7,7.5,8.1,7.6,15.8,13.5,9.7,23.2,6.7,6.0,12.7,5.6,5.2,10.7,8.6,8.5,17.2,5.6,7.3,12.9,Minot, ND,33500
"Missoula, MT Metro Area",310M200US33540,111011,55810,3119,55201,2961,6080,8228,7479,15707,13246,12908,26154,7762,7066,14828,6371,6396,12767,10649,11042,21691,6435,7349,13784,2.8,2.7,5.5,7.4,6.7,14.1,11.9,11.6,23.6,7.0,6.4,13.4,5.7,5.8,11.5,9.6,9.9,19.5,5.8,6.6,12.4,Missoula, MT,33540
"Mitchell, SD Micro Area",310M200US33580,23122,11734,843,11388,752,1595,2090,1971,4061,2255,1617,3872,1423,1257,2680,1304,1278,2582,2226,2312,4538,1593,2201,3794,3.6,3.3,6.9,9.0,8.5,17.6,9.8,7.0,16.7,6.2,5.4,11.6,5.6,5.5,11.2,9.6,10.0,19.6,6.9,9.5,16.4,Mitchell, SD,33580
"Moberly, MO Micro Area",310M200US33620,25207,13203,843,12004,697,1540,2176,1989,4165,2280,1779,4059,1928,1379,3307,1899,1525,3424,2516,2466,4982,1561,2169,3730,3.3,2.8,6.1,8.6,7.9,16.5,9.0,7.1,16.1,7.6,5.5,13.1,7.5,6.0,13.6,10.0,9.8,19.8,6.2,8.6,14.8,Moberly, MO,33620
"Morgan City, LA Micro Area",310M200US34020,53784,26544,1852,27240,1834,3686,4888,4822,9710,4393,4144,8537,3101,3286,6387,3594,3617,7211,5456,5452,10908,3260,4085,7345,3.4,3.4,6.9,9.1,9.0,18.1,8.2,7.7,15.9,5.8,6.1,11.9,6.7,6.7,13.4,10.1,10.1,20.3,6.1,7.6,13.7,Morgan City, LA,34020
"Morgantown, WV Metro Area",310M200US34060,134052,69270,3529,64782,3041,6570,8249,7739,15988,20992,18110,39102,9504,7852,17356,7813,7359,15172,12076,11861,23937,7107,8820,15927,2.6,2.3,4.9,6.2,5.8,11.9,15.7,13.5,29.2,7.1,5.9,12.9,5.8,5.5,11.3,9.0,8.8,17.9,5.3,6.6,11.9,Morgantown, WV,34060
"Morristown, TN Metro Area",310M200US34100,115029,56361,3476,58668,3191,6667,9892,9237,19129,8403,8012,16415,7203,7123,14326,7593,7859,15452,11117,12054,23171,8677,11192,19869,3.0,2.8,5.8,8.6,8.0,16.6,7.3,7.0,14.3,6.3,6.2,12.5,6.6,6.8,13.4,9.7,10.5,20.1,7.5,9.7,17.3,Morristown, TN,34100
"Moscow, ID Micro Area",310M200US34140,37989,19512,1075,18477,1100,2175,2546,2351,4897,6929,5840,12769,2183,2012,4195,1866,1834,3700,2975,3104,6079,1938,2236,4174,2.8,2.9,5.7,6.7,6.2,12.9,18.2,15.4,33.6,5.7,5.3,11.0,4.9,4.8,9.7,7.8,8.2,16.0,5.1,5.9,11.0,Moscow, ID,34140
"Moses Lake, WA Micro Area",310M200US34180,91458,46412,4037,45046,3971,8008,10116,9717,19833,7874,7181,15055,5695,5717,11412,5746,5055,10801,7602,7575,15177,5342,5830,11172,4.4,4.3,8.8,11.1,10.6,21.7,8.6,7.9,16.5,6.2,6.3,12.5,6.3,5.5,11.8,8.3,8.3,16.6,5.8,6.4,12.2,Moses Lake, WA,34180
"Moultrie, GA Micro Area",310M200US34220,45987,22765,1906,23222,1826,3732,4462,4357,8819,3896,3432,7328,2838,2878,5716,3269,3124,6393,3783,4090,7873,2611,3515,6126,4.1,4.0,8.1,9.7,9.5,19.2,8.5,7.5,15.9,6.2,6.3,12.4,7.1,6.8,13.9,8.2,8.9,17.1,5.7,7.6,13.3,Moultrie, GA,34220
"Mountain Home, AR Micro Area",310M200US34260,41154,19747,943,21407,868,1811,2819,2781,5600,2156,2130,4286,1795,2027,3822,2151,2283,4434,4253,5009,9262,5630,6309,11939,2.3,2.1,4.4,6.8,6.8,13.6,5.2,5.2,10.4,4.4,4.9,9.3,5.2,5.5,10.8,10.3,12.2,22.5,13.7,15.3,29.0,Mountain Home, AR,34260
"Mountain Home, ID Micro Area",310M200US34300,26349,13579,1099,12770,1145,2244,2450,2470,4920,3269,2482,5751,1789,1685,3474,1469,1307,2776,2130,2046,4176,1373,1635,3008,4.2,4.3,8.5,9.3,9.4,18.7,12.4,9.4,21.8,6.8,6.4,13.2,5.6,5.0,10.5,8.1,7.8,15.8,5.2,6.2,11.4,Mountain Home, ID,34300
"Mount Airy, NC Micro Area",310M200US34340,73391,35904,2145,37487,1957,4102,6285,6182,12467,5021,4452,9473,4539,4112,8651,4832,5531,10363,7558,7783,15341,5524,7470,12994,2.9,2.7,5.6,8.6,8.4,17.0,6.8,6.1,12.9,6.2,5.6,11.8,6.6,7.5,14.1,10.3,10.6,20.9,7.5,10.2,17.7,Mount Airy, NC,34340
"Mount Pleasant, MI Micro Area",310M200US34380,70506,34251,1762,36255,1689,3451,4527,4392,8919,12661,13860,26521,3449,3378,6827,3504,3289,6793,5211,5529,10740,3137,4118,7255,2.5,2.4,4.9,6.4,6.2,12.6,18.0,19.7,37.6,4.9,4.8,9.7,5.0,4.7,9.6,7.4,7.8,15.2,4.4,5.8,10.3,Mount Pleasant, MI,34380
"Mount Pleasant, TX Micro Area",310M200US34420,32540,16014,1334,16526,1403,2737,3492,3423,6915,2721,2592,5313,1918,2059,3977,2153,2075,4228,2587,2774,5361,1809,2200,4009,4.1,4.3,8.4,10.7,10.5,21.3,8.4,8.0,16.3,5.9,6.3,12.2,6.6,6.4,13.0,8.0,8.5,16.5,5.6,6.8,12.3,Mount Pleasant, TX,34420
"Mount Sterling, KY Micro Area",310M200US34460,45190,22336,1537,22854,1386,2923,4214,3848,8062,3164,3152,6316,3001,2680,5681,3143,3605,6748,4402,4535,8937,2875,3648,6523,3.4,3.1,6.5,9.3,8.5,17.8,7.0,7.0,14.0,6.6,5.9,12.6,7.0,8.0,14.9,9.7,10.0,19.8,6.4,8.1,14.4,Mount Sterling, KY,34460
"Mount Vernon, IL Micro Area",310M200US34500,38716,19898,1242,18818,1186,2428,3175,2884,6059,3091,2597,5688,2654,2129,4783,2810,2360,5170,4086,3978,8064,2840,3684,6524,3.2,3.1,6.3,8.2,7.4,15.6,8.0,6.7,14.7,6.9,5.5,12.4,7.3,6.1,13.4,10.6,10.3,20.8,7.3,9.5,16.9,Mount Vernon, IL,34500
"Mount Vernon, OH Micro Area",310M200US34540,61063,29889,1936,31174,1820,3756,5484,5160,10644,5063,5417,10480,3084,3256,6340,4069,3857,7926,6040,6438,12478,4213,5226,9439,3.2,3.0,6.2,9.0,8.5,17.4,8.3,8.9,17.2,5.1,5.3,10.4,6.7,6.3,13.0,9.9,10.5,20.4,6.9,8.6,15.5,Mount Vernon, OH,34540
"Mount Vernon-Anacortes, WA Metro Area",310M200US34580,118364,58664,3738,59700,3749,7487,10077,9679,19756,8821,8272,17093,6983,6944,13927,7278,6965,14243,12217,12996,25213,9550,11095,20645,3.2,3.2,6.3,8.5,8.2,16.7,7.5,7.0,14.4,5.9,5.9,11.8,6.1,5.9,12.0,10.3,11.0,21.3,8.1,9.4,17.4,Mount Vernon-Anacortes, WA,34580
"Muncie, IN Metro Area",310M200US34620,117441,56296,3069,61145,3017,6086,8407,8287,16694,14556,15667,30223,5553,6299,11852,6913,6572,13485,10026,11079,21105,7772,10224,17996,2.6,2.6,5.2,7.2,7.1,14.2,12.4,13.3,25.7,4.7,5.4,10.1,5.9,5.6,11.5,8.5,9.4,18.0,6.6,8.7,15.3,Muncie, IN,34620
"Murray, KY Micro Area",310M200US34660,37981,18317,1045,19664,938,1983,2421,2444,4865,4914,5696,10610,2191,1767,3958,1932,2205,4137,3167,3411,6578,2647,3203,5850,2.8,2.5,5.2,6.4,6.4,12.8,12.9,15.0,27.9,5.8,4.7,10.4,5.1,5.8,10.9,8.3,9.0,17.3,7.0,8.4,15.4,Murray, KY,34660
"Muscatine, IA Micro Area",310M200US34700,42857,21235,1500,21622,1507,3007,4055,3951,8006,3183,2946,6129,2615,2636,5251,2768,2735,5503,4369,4406,8775,2745,3441,6186,3.5,3.5,7.0,9.5,9.2,18.7,7.4,6.9,14.3,6.1,6.2,12.3,6.5,6.4,12.8,10.2,10.3,20.5,6.4,8.0,14.4,Muscatine, IA,34700
"Muskegon, MI Metro Area",310M200US34740,171328,84953,5531,86375,5282,10813,15691,15007,30698,13334,12662,25996,10046,9928,19974,11928,11316,23244,17732,18360,36092,10691,13820,24511,3.2,3.1,6.3,9.2,8.8,17.9,7.8,7.4,15.2,5.9,5.8,11.7,7.0,6.6,13.6,10.3,10.7,21.1,6.2,8.1,14.3,Muskegon, MI,34740
"Muskogee, OK Micro Area",310M200US34780,70519,34519,2559,36000,2423,4982,6371,5992,12363,5589,5445,11034,4122,4494,8616,4508,4469,8977,6731,7121,13852,4639,6056,10695,3.6,3.4,7.1,9.0,8.5,17.5,7.9,7.7,15.6,5.8,6.4,12.2,6.4,6.3,12.7,9.5,10.1,19.6,6.6,8.6,15.2,Muskogee, OK,34780
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",310M200US34820,396187,192954,10809,203233,10203,21012,28151,27047,55198,28266,27611,55877,22299,23037,45336,24518,24906,49424,40805,47964,88769,38106,42465,80571,2.7,2.6,5.3,7.1,6.8,13.9,7.1,7.0,14.1,5.6,5.8,11.4,6.2,6.3,12.5,10.3,12.1,22.4,9.6,10.7,20.3,Myrtle Beach-Conway-North Myrtle Beach, SC,34820
"Nacogdoches, TX Micro Area",310M200US34860,65322,31158,2349,34164,2238,4587,5430,5272,10702,7925,9433,17358,3431,3315,6746,3251,3775,7026,5325,5622,10947,3447,4509,7956,3.6,3.4,7.0,8.3,8.1,16.4,12.1,14.4,26.6,5.3,5.1,10.3,5.0,5.8,10.8,8.2,8.6,16.8,5.3,6.9,12.2,Nacogdoches, TX,34860
"Napa, CA Metro Area",310M200US34900,139253,69301,4083,69952,3802,7885,11793,11401,23194,11026,10080,21106,8379,8321,16700,9825,9482,19307,14127,14663,28790,10068,12203,22271,2.9,2.7,5.7,8.5,8.2,16.7,7.9,7.2,15.2,6.0,6.0,12.0,7.1,6.8,13.9,10.1,10.5,20.7,7.2,8.8,16.0,Napa, CA,34900
"Naples-Immokalee-Marco Island, FL Metro Area",310M200US34940,334474,164631,8553,169843,8197,16750,23814,22422,46236,21333,18830,40163,16905,16328,33233,19409,19915,39324,30080,34900,64980,44537,49251,93788,2.6,2.5,5.0,7.1,6.7,13.8,6.4,5.6,12.0,5.1,4.9,9.9,5.8,6.0,11.8,9.0,10.4,19.4,13.3,14.7,28.0,Naples-Immokalee-Marco Island, FL,34940
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",310M200US34980,1730515,843981,58505,886534,56701,115206,153521,147058,300579,145723,149623,295346,120701,124894,245595,122184,124668,246852,157557,170372,327929,85790,113218,199008,3.4,3.3,6.7,8.9,8.5,17.4,8.4,8.6,17.1,7.0,7.2,14.2,7.1,7.2,14.3,9.1,9.8,18.9,5.0,6.5,11.5,Nashville-Davidson--Murfreesboro--Franklin, TN,34980
"Natchez, MS-LA Micro Area",310M200US35020,52798,26693,1708,26105,1608,3316,4463,4255,8718,4394,3597,7991,3898,2955,6853,3285,2972,6257,5481,5934,11415,3464,4784,8248,3.2,3.0,6.3,8.5,8.1,16.5,8.3,6.8,15.1,7.4,5.6,13.0,6.2,5.6,11.9,10.4,11.2,21.6,6.6,9.1,15.6,Natchez, MS,35020
"Natchitoches, LA Micro Area",310M200US35060,39359,18762,1301,20597,1243,2544,3622,3298,6920,4049,4666,8715,2158,2181,4339,1981,2287,4268,3235,3689,6924,2416,3233,5649,3.3,3.2,6.5,9.2,8.4,17.6,10.3,11.9,22.1,5.5,5.5,11.0,5.0,5.8,10.8,8.2,9.4,17.6,6.1,8.2,14.4,Natchitoches, LA,35060
"New Bern, NC Metro Area",310M200US35100,127820,64345,4562,63475,4169,8731,9874,9758,19632,13930,10140,24070,7217,6917,14134,7248,7201,14449,11711,13136,24847,9803,12154,21957,3.6,3.3,6.8,7.7,7.6,15.4,10.9,7.9,18.8,5.6,5.4,11.1,5.7,5.6,11.3,9.2,10.3,19.4,7.7,9.5,17.2,New Bern, NC,35100
"Newberry, SC Micro Area",310M200US35140,37593,18259,1125,19334,1183,2308,3027,3054,6081,3129,2827,5956,2029,2092,4121,2401,2449,4850,3841,4081,7922,2707,3648,6355,3.0,3.1,6.1,8.1,8.1,16.2,8.3,7.5,15.8,5.4,5.6,11.0,6.4,6.5,12.9,10.2,10.9,21.1,7.2,9.7,16.9,Newberry, SC,35140
"New Castle, IN Micro Area",310M200US35220,49227,25394,1191,23833,1164,2355,4108,3910,8018,3995,2902,6897,3255,2459,5714,3878,3511,7389,5347,5116,10463,3620,4771,8391,2.4,2.4,4.8,8.3,7.9,16.3,8.1,5.9,14.0,6.6,5.0,11.6,7.9,7.1,15.0,10.9,10.4,21.3,7.4,9.7,17.0,New Castle, IN,35220
"New Castle, PA Micro Area",310M200US35260,89859,43351,2374,46508,2377,4751,7098,6838,13936,6160,5967,12127,4626,4763,9389,5807,5941,11748,10008,10535,20543,7278,10087,17365,2.6,2.6,5.3,7.9,7.6,15.5,6.9,6.6,13.5,5.1,5.3,10.4,6.5,6.6,13.1,11.1,11.7,22.9,8.1,11.2,19.3,New Castle, PA,35260
"New Haven-Milford, CT Metro Area",310M200US35300,863148,416027,23878,447121,22853,46731,71573,68457,140030,72054,72754,144808,49986,54277,104263,59622,61795,121417,84932,92010,176942,53982,74975,128957,2.8,2.6,5.4,8.3,7.9,16.2,8.3,8.4,16.8,5.8,6.3,12.1,6.9,7.2,14.1,9.8,10.7,20.5,6.3,8.7,14.9,New Haven-Milford, CT,35300
"New Orleans-Metairie, LA Metro Area",310M200US35380,1226440,594380,39271,632060,39107,78378,103245,99247,202492,102774,106770,209544,79969,82796,162765,80030,83784,163814,121433,130135,251568,67658,90221,157879,3.2,3.2,6.4,8.4,8.1,16.5,8.4,8.7,17.1,6.5,6.8,13.3,6.5,6.8,13.4,9.9,10.6,20.5,5.5,7.4,12.9,New Orleans-Metairie, LA,35380
"New Philadelphia-Dover, OH Micro Area",310M200US35420,92616,45630,2813,46986,2635,5448,8335,7752,16087,6385,6246,12631,5638,5405,11043,5735,5747,11482,9941,10172,20113,6783,9029,15812,3.0,2.8,5.9,9.0,8.4,17.4,6.9,6.7,13.6,6.1,5.8,11.9,6.2,6.2,12.4,10.7,11.0,21.7,7.3,9.7,17.1,New Philadelphia-Dover, OH,35420
"Newport, OR Micro Area",310M200US35440,46138,22495,1196,23643,1124,2320,2962,2683,5645,2761,2486,5247,2241,2384,4625,2616,2566,5182,5773,6625,12398,4946,5775,10721,2.6,2.4,5.0,6.4,5.8,12.2,6.0,5.4,11.4,4.9,5.2,10.0,5.7,5.6,11.2,12.5,14.4,26.9,10.7,12.5,23.2,Newport, OR,35440
"Newport, TN Micro Area",310M200US35460,35453,17273,929,18180,879,1808,2914,2711,5625,2128,2320,4448,2094,2072,4166,2383,2510,4893,3793,4255,8048,3032,3433,6465,2.6,2.5,5.1,8.2,7.6,15.9,6.0,6.5,12.5,5.9,5.8,11.8,6.7,7.1,13.8,10.7,12.0,22.7,8.6,9.7,18.2,Newport, TN,35460
"Newton, IA Micro Area",310M200US35500,36715,18891,1082,17824,958,2040,3164,2951,6115,2742,2104,4846,2485,1914,4399,2663,2436,5099,4006,3889,7895,2749,3572,6321,2.9,2.6,5.6,8.6,8.0,16.7,7.5,5.7,13.2,6.8,5.2,12.0,7.3,6.6,13.9,10.9,10.6,21.5,7.5,9.7,17.2,Newton, IA,35500
"New Ulm, MN Micro Area",310M200US35580,25513,12648,758,12865,730,1488,2123,1938,4061,1959,1871,3830,1313,1273,2586,1553,1483,3036,2810,2741,5551,2132,2829,4961,3.0,2.9,5.8,8.3,7.6,15.9,7.7,7.3,15.0,5.1,5.0,10.1,6.1,5.8,11.9,11.0,10.7,21.8,8.4,11.1,19.4,New Ulm, MN,35580
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",310M200US35620,19865045,9593127,628357,10271918,600904,1229261,1648321,1575730,3224051,1660329,1657874,3318203,1336347,1383513,2719860,1382064,1466936,2849000,1821207,2008593,3829800,1116502,1578368,2694870,3.2,3.0,6.2,8.3,7.9,16.2,8.4,8.3,16.7,6.7,7.0,13.7,7.0,7.4,14.3,9.2,10.1,19.3,5.6,7.9,13.6,New York-Newark-Jersey City, NY,35620
"Niles-Benton Harbor, MI Metro Area",310M200US35660,155992,76101,4854,79891,4676,9530,13481,12701,26182,11194,10899,22093,8721,8972,17693,9880,10285,20165,16493,17415,33908,11478,14943,26421,3.1,3.0,6.1,8.6,8.1,16.8,7.2,7.0,14.2,5.6,5.8,11.3,6.3,6.6,12.9,10.6,11.2,21.7,7.4,9.6,16.9,Niles-Benton Harbor, MI,35660
"Nogales, AZ Micro Area",310M200US35700,47250,22651,1908,24599,1634,3542,5257,5054,10311,3360,3384,6744,2296,2644,4940,2609,3347,5956,4096,4779,8875,3125,3757,6882,4.0,3.5,7.5,11.1,10.7,21.8,7.1,7.2,14.3,4.9,5.6,10.5,5.5,7.1,12.6,8.7,10.1,18.8,6.6,8.0,14.6,Nogales, AZ,35700
"Norfolk, NE Micro Area",310M200US35740,48416,24033,1740,24383,1743,3483,4559,4164,8723,3884,3637,7521,2769,2611,5380,2839,3052,5891,4961,4902,9863,3281,4274,7555,3.6,3.6,7.2,9.4,8.6,18.0,8.0,7.5,15.5,5.7,5.4,11.1,5.9,6.3,12.2,10.2,10.1,20.4,6.8,8.8,15.6,Norfolk, NE,35740
"North Platte, NE Micro Area",310M200US35820,37216,18391,1279,18825,1211,2490,3385,3300,6685,2601,2436,5037,2227,2409,4636,2225,2092,4317,4013,3961,7974,2661,3416,6077,3.4,3.3,6.7,9.1,8.9,18.0,7.0,6.5,13.5,6.0,6.5,12.5,6.0,5.6,11.6,10.8,10.6,21.4,7.2,9.2,16.3,North Platte, NE,35820
"Raymondville, TX Micro Area",310M200US39700,22056,11936,727,10120,716,1443,2129,2133,4262,2861,1619,4480,1996,1191,3187,1428,1290,2718,1606,1687,3293,1189,1484,2673,3.3,3.2,6.5,9.7,9.7,19.3,13.0,7.3,20.3,9.0,5.4,14.4,6.5,5.8,12.3,7.3,7.6,14.9,5.4,6.7,12.1,Raymondville, TX,39700
"Reading, PA Metro Area",310M200US39740,413016,202883,12569,210133,12035,24604,36682,34737,71419,32988,32612,65600,22929,23589,46518,28898,29767,58665,41610,42096,83706,27207,35297,62504,3.0,2.9,6.0,8.9,8.4,17.3,8.0,7.9,15.9,5.6,5.7,11.3,7.0,7.2,14.2,10.1,10.2,20.3,6.6,8.5,15.1,Reading, PA,39740
"Red Bluff, CA Micro Area",310M200US39780,63284,31494,2232,31790,1936,4168,5753,5658,11411,4629,4429,9058,3613,3409,7022,3903,3924,7827,6360,6755,13115,5004,5679,10683,3.5,3.1,6.6,9.1,8.9,18.0,7.3,7.0,14.3,5.7,5.4,11.1,6.2,6.2,12.4,10.0,10.7,20.7,7.9,9.0,16.9,Red Bluff, CA,39780
"Redding, CA Metro Area",310M200US39820,178520,87692,5282,90828,5048,10330,14925,13850,28775,13529,12998,26527,10008,9783,19791,10235,10926,21161,18990,20560,39550,14723,17663,32386,3.0,2.8,5.8,8.4,7.8,16.1,7.6,7.3,14.9,5.6,5.5,11.1,5.7,6.1,11.9,10.6,11.5,22.2,8.2,9.9,18.1,Redding, CA,39820
"Red Wing, MN Micro Area",310M200US39860,46336,23190,1507,23146,1248,2755,4247,3738,7985,3025,2831,5856,2633,2624,5257,3028,3090,6118,5171,5113,10284,3579,4502,8081,3.3,2.7,5.9,9.2,8.1,17.2,6.5,6.1,12.6,5.7,5.7,11.3,6.5,6.7,13.2,11.2,11.0,22.2,7.7,9.7,17.4,Red Wing, MN,39860
"Reno, NV Metro Area",310M200US39900,433919,218257,13697,215662,13489,27186,37106,34900,72006,38521,36767,75288,28230,26601,54831,29221,28631,57852,43878,44469,88347,27604,30805,58409,3.2,3.1,6.3,8.6,8.0,16.6,8.9,8.5,17.4,6.5,6.1,12.6,6.7,6.6,13.3,10.1,10.2,20.4,6.4,7.1,13.5,Reno, NV,39900
"Rexburg, ID Micro Area",310M200US39940,50778,25463,2491,25315,2178,4669,4724,4421,9145,8930,9482,18412,2515,2223,4738,1977,1964,3941,2865,2870,5735,1961,2177,4138,4.9,4.3,9.2,9.3,8.7,18.0,17.6,18.7,36.3,5.0,4.4,9.3,3.9,3.9,7.8,5.6,5.7,11.3,3.9,4.3,8.1,Rexburg, ID,39940
"Richmond, IN Micro Area",310M200US39980,68360,33212,2273,35148,1934,4207,5812,5488,11300,5002,5062,10064,3878,3981,7859,4592,4495,9087,6769,7392,14161,4886,6796,11682,3.3,2.8,6.2,8.5,8.0,16.5,7.3,7.4,14.7,5.7,5.8,11.5,6.7,6.6,13.3,9.9,10.8,20.7,7.1,9.9,17.1,Richmond, IN,39980
"Richmond, VA Metro Area",310M200US40060,1234058,597984,37613,636074,36592,74205,105873,100678,206551,102998,104056,207054,79292,81341,160633,85923,89881,175804,118971,132208,251179,67314,91318,158632,3.0,3.0,6.0,8.6,8.2,16.7,8.3,8.4,16.8,6.4,6.6,13.0,7.0,7.3,14.2,9.6,10.7,20.4,5.5,7.4,12.9,Richmond, VA,40060
"Richmond-Berea, KY Micro Area",310M200US40080,102450,49888,2901,52562,2937,5838,8044,7871,15915,11247,11623,22870,6185,6273,12458,6854,7122,13976,8950,9537,18487,5707,7199,12906,2.8,2.9,5.7,7.9,7.7,15.5,11.0,11.3,22.3,6.0,6.1,12.2,6.7,7.0,13.6,8.7,9.3,18.0,5.6,7.0,12.6,Richmond-Berea, KY,40080
"Rio Grande City, TX Micro Area",310M200US40100,62040,30182,3198,31858,2959,6157,7190,7288,14478,5719,5409,11128,3994,4127,8121,3233,3796,7029,3900,4623,8523,2948,3656,6604,5.2,4.8,9.9,11.6,11.7,23.3,9.2,8.7,17.9,6.4,6.7,13.1,5.2,6.1,11.3,6.3,7.5,13.7,4.8,5.9,10.6,Rio Grande City, TX,40100
"Riverside-San Bernardino-Ontario, CA Metro Area",310M200US40140,4345485,2161685,161711,2183800,154742,316453,451935,432773,884708,401298,379454,780752,284237,288942,573179,287379,288415,575794,358535,373614,732149,216590,265860,482450,3.7,3.6,7.3,10.4,10.0,20.4,9.2,8.7,18.0,6.5,6.6,13.2,6.6,6.6,13.3,8.3,8.6,16.8,5.0,6.1,11.1,Riverside-San Bernardino-Ontario, CA,40140
"Riverton, WY Micro Area",310M200US40180,40739,20314,1586,20425,1526,3112,3690,3471,7161,3072,2961,6033,2489,2301,4790,2290,2318,4608,4319,4481,8800,2868,3367,6235,3.9,3.7,7.6,9.1,8.5,17.6,7.5,7.3,14.8,6.1,5.6,11.8,5.6,5.7,11.3,10.6,11.0,21.6,7.0,8.3,15.3,Riverton, WY,40180
"Roanoke, VA Metro Area",310M200US40220,310934,150247,9033,160687,8460,17493,24763,23504,48267,21739,22435,44174,17532,18456,35988,21357,21613,42970,32955,35489,68444,22868,30730,53598,2.9,2.7,5.6,8.0,7.6,15.5,7.0,7.2,14.2,5.6,5.9,11.6,6.9,7.0,13.8,10.6,11.4,22.0,7.4,9.9,17.2,Roanoke, VA,40220
